a52dec 0.8.0-2
libxcvt 0.1.2-2
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.8-2
libxi 1.8.2-1
libxinerama 1.1.5-2
libxkbcommon 1.7.0-2
libxkbcommon-x11 1.7.0-2
libxkbfile 1.1.3-1
libxml2 2.13.4-1
libxmu 1.2.1-1
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.11-2
libxshmfence 1.3.2-2
libxslt 1.1.42-1
libxss 1.2.4-2
libxt 1.3.0-2
libxtst 1.2.5-1
libxv 1.0.12-2
libxvmc 1.0.14-1
libxxf86vm 1.1.5-2
libyuv r2426+464c51a0-1
licenses 20240728-1
lilv 0.24.24-2
linux 6.11.1.arch1-1
linux-api-headers 6.10-1
linux-firmware 20240909.552ed9b8-1
linux-firmware-whence 20240909.552ed9b8-1
linux-lts 6.6.52-1
linux-zen 6.11.1.zen1-1
lld 18.1.8-1
llvm-libs 18.1.8-4
lm_sensors 1:3.6.0.r41.g31d1f125-3
lmdb 0.9.33-1
lowdown 1.0.2-2
lua 5.4.7-1
lua51-lpeg 1.1.0-2
luajit 2.1.1725453128-1
luarocks 3.11.1-1
lv2 1.18.10-1
lxmenu-data 0.1.5-4
ly 1.0.2-1
lz4 1:1.10.0-2
lzo 2.10-5
m4 1.4.19-3
mailcap 2.1.54-2
make 4.4.1-2
man-db 2.13.0-1
menu-cache 1.1.0-5
mesa 1:24.2.3-1
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
mpv 1:0.39.0-1
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mujs 1.3.5-1
nano 8.2-1
nasm 2.16.03-1
ncurses 6.5-3
neon 0.33.0-1
neovim 0.10.1-5
nettle 3.10-1
nix 2.24.7-1
nix-busybox 1.35.0-2
nix-docs 2.24.7-1
noto-fonts 1:24.9.1-1
noto-fonts-emoji 1:2.042-1
npth 1.7-1
nspr 4.35-3
nss 3.105-1
ocl-icd 2.3.2-2
oniguruma 6.9.9-1
openal 1.23.1-2
opencore-amr 0.1.6-2
openexr 3.2.4-1
openjpeg2 2.5.2-1
openssh 9.9p1-1
openssl 3.3.2-1
opus 1.5.2-1
orc 0.4.40-1
otf-fira-mono 2:3.206-4
otf-fira-sans 1:4.301-2
otf-hermit 2.0-3
p11-kit 0.25.5-1
p7zip 1:17.05-2
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacman-mirrorlist 20240717-1
pam 1.6.1-3
pambase 20230918-2
pango 1:1.54.0-1
pangomm 2.46.4-1
pangomm-2.48 2.54.0-1
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcmanfm 1.3.2-1
pcre 8.45-4
pcre2 10.44-1
pcsclite 2.3.0-1
perl 5.40.0-1
perl-error 0.17029-7
perl-mailtools 2.21-9
perl-timedate 2.33-7
pinentry 1.3.1-5
pipewire 1:1.2.5-1
pipewire-alsa 1:1.2.5-1
pipewire-audio 1:1.2.5-1
pipewire-jack 1:1.2.5-1
pipewire-pulse 1:1.2.5-1
pixman 0.43.4-1
pkgconf 2.1.1-1
playerctl 2.4.1-4
polkit 125-1
popt 1.19-2
portaudio 1:19.7.0-3
premake 5.0beta2-1
procps-ng 4.0.4-3
procs 0.14.6-1
psmisc 23.7-1
python 3.12.6-1
python-i3ipc 2.2.1-6
python-psutil 6.0.0-1
python-six 1.16.0-9
python-xlib 0.33-3
qrencode 4.1.1-3
raptor 2.0.16-5
rav1e 0.7.1-1
readline 8.2.013-1
reflector 2023-2
ripgrep 14.1.1-1
rsync 3.3.0-2
rtmpdump 1:2.4.r105.6f6bb13-1
rubberband 3.3.0-2
rust 1:1.81.0-1
s2n-tls 1.5.3-1
sbc 2.0-2
sbcl 2.4.7-1
scdoc 1.11.3-1
schroedinger 1.0.11-7
sd 1.0.0-1
sdl2 2.30.7-1
seatd 0.8.0-2
sed 4.9-3
serd 0.32.2-1
shaderc 2024.2-1
shadow 4.16.0-1
shared-mime-info 2.4-1
slang 2.3.3-3
slurp 1.5.0-1
smartmontools 7.4-2
snap-pac 3.0.1-3
snapper 0.11.2-1
snappy 1.2.1-2
sndio 1.10.0-1
sord 0.16.16-1
sound-theme-freedesktop 0.8-6
soundtouch 2.3.3-1
spandsp 0.0.6-5
spdlog 1.14.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 2024.2-1
sqlite 3.46.1-1
sratom 0.6.16-1
srt 1.5.3-2
starship 1.20.1-1
startup-notification 0.12-8
stow 2.4.1-1
sudo 1.9.16-1
svt-av1 2.2.1-1
svt-hevc 1.5.1-3
sway 1:1.9-5
sway-contrib 1.9.0-2
swaybg 1.2.1-1
swayidle 1.8.0-2
swayimg 3.2-2
swaylock-effects-git r470.496059a-1
swaylock-effects-git-debug r470.496059a-1
systemd 256.6-1
systemd-libs 256.6-1
systemd-sysvcompat 256.6-1
taglib 2.0.2-1
tar 1.35-2
tdb 1.4.12-1
tealdeer 1.6.1-2
texinfo 7.1.1-1
tinysparql 3.8.0-1
tmux 3.5-1
tokei 12.1.2-2
tpm2-tss 4.0.1-1
trash-cli 0.24.5.26-1
tree-sitter 0.23.2-1
tree-sitter-c 0.23.1-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.4.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-droid 20121017-11
ttf-fira-code 6.2-2
ttf-fira-mono 2:3.206-4
ttf-fira-sans 1:4.301-2
ttf-font-awesome 6.6.0-1
ttf-hack 3.003-7
ttf-jetbrains-mono 2.304-2
ttf-meslo 1.2.1-3
ttf-nerd-fonts-symbols 3.2.1-1
ttf-nerd-fonts-symbols-common 3.2.1-1
ttf-nunito 3.601-2
ttf-roboto 2.138-5
ttf-roboto-mono 3.000-3
ttf-ubuntu-font-family 1:0.83-2
twolame 0.4.0-4
tzdata 2024b-2
uchardet 0.0.8-3
unibilium 2.1.1-2
unrar 1:7.0.9-1
unzip 6.0-21
upower 1.90.6-1
util-linux 2.40.2-1
util-linux-libs 2.40.2-1
v4l-utils 1.28.1-1
vapoursynth R69-1
vid.stab 1.1.1-2
vim 9.1.0740-1
vim-runtime 9.1.0740-1
vmaf 3.0.0-1
vulkan-icd-loader 1.3.295-1
vulkan-radeon 1:24.2.3-1
wavpack 5.7.0-1
waybar 0.11.0-3
wayland 1.23.1-1
waylock 1.2.1-1
webrtc-audio-processing-1 1.3-3
wev 1.0.0-13
wget 1.24.5-3
which 2.21-6
wildmidi 0.4.6-1
wireless_tools 30.pre9-4
wireplumber 0.5.6-1
wl-clipboard 1:2.2.1-2
wlprop 1:1.0-1
wlr-randr 0.4.1-4
wlroots0.17 0.17.4-3
wlsunset 0.4.0-1
wmenu 0.1.9-1
wpa_supplicant 2:2.11-2
x264 3:0.164.r3108.31e19f9-2
x265 3.6-1
xcb-proto 1.17.0-2
xcb-util 0.4.1-2
xcb-util-errors 1.0.1-2
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.4.0-2
xf86-video-amdgpu 23.0.0-2
xf86-video-ati 1:22.0.0-2
xine-lib 1.2.13-7
xkeyboard-config 2.42-1
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.13-1
xorg-server-common 21.1.13-1
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.3-1
xorg-xinit 1.4.2-2
xorg-xkbcomp 1.4.7-1
xorg-xmodmap 1.0.11-2
